FECHA;Semana;Zona;Unidad;Nombre_Unidad;Real;Costo_Ha;Atencion_Plantacion;C_Riego;C_Mano_Obra_Riego;C_Mantenimiento_Riego;C_Combustible;C_Control_Sigatoca;C_Aplicacion_Aerea;C_Deshoje;C_Costos_Productos;C_Fertilizacion;C_Sacos_Fert;C_ManodeObra_Fert;C_Transporte_Fert;C_Administracion_Hacienda;Sueldos;Servicios_Basicos;C_Empaque_Fijo;Mantenimiento_Empacadora;Mantenimiento_Equipo;C_Logistica;Transporte;Materiales;Reclasificaciones_Transporte;Reclasificaciones_Materiales;C_Empaque_Variable;C_Cosecha;C_Transporte;C_Depreciaciones;Total_Cajas;Total_Hectareas;Racimo_Rechazado;Total_Peso_Caja;Promedio_Peso_Caja;Tipo_Suelo;Incidencia_Sigatoka;Temperatura_C;Precipitacion_mm;Evotranspiracion;Humedad;Ausentismo_Agricola;Ausentismo_Justificado_Agricola;Ausentismo_Injustificado_Agricola;RotPerson_Salida_Todos_Motivos_Agricola;Pago_Labor_Persona;Pago_Por_Cuenta;Vacante_Labor
1/01/20;5;Zona Camarones;2283;Hacienda San Escriva;5,114322018;926,408722;120674;1576;643;933;0;40510;16257;5474;18779;17895;15191;1968;736;18992;15328;782;81;25;56;64684;20489;45253;0;-1058;34172;21760;21225;14945;45513,5596;168,77;0,008037;0;0;0;652,71;30,42000008;84,4;14;0;0;0;0;0;0;0;0
1/02/20;9;Zona Camarones;2283;Hacienda San Escriva;6,033119506;1010,523197;131428;2253;540;1644;69;35576;14832;5034;15710;29995;25364;1800;2831;15267;11636;637;1859;835;1024;75525;13275;63380;0;-1130;27742;17324;16106;20448;37938,4164;168,77;0,006836;0;0;0;861,1;30,49642849;112,25;17;0;0;0;0;0,006803;0;0;0
1/03/20;14;Zona Camarones;2283;Hacienda San Escriva;4,495248418;831,4629378;107817;778;515;218;45;36899;12953;4559;19387;16707;12358;1321;3028;15175;13786;641;-273;24;-297;62510;22610;41791;0;-1891;29621;18817;25638;16082;47021,6505;168,77;0,00423;0;0;0;1353,85;30,90357161;101,75;16,25;0;0;0;0;0,013423;0;0;0
1/04/20;18;Zona Camarones;2283;Hacienda San Escriva;6,130292203;990,7033242;125872;1786;720;835;231;39682;16082;4207;19393;15560;13162;1651;747;16147;11597;612;355;8;347;69883;25117;46128;0;-1362;34571;21567;25864;23182;40529,2263;168,77;0,005091;0;0;0;1191,96;34,42857132;103,6;13,4;0;0;0;0;0;0;0;0
1/05/20;22;Zona Camarones;2283;Hacienda San Escriva;6,329381916;1028,251467;135611;3507;591;2715;201;34116;13930;3971;16215;21265;15957;1761;3547;13922;11933;641;1396;209;1187;65997;14446;52738;0;-1187;24843;15623;17993;20485;36093,5717;168,77;0,005942;0;0;0;946,85;34,60714245;50,5;14,5;0;0;0;0;0,006211;0;0;0
1/06/20;27;Zona Camarones;2283;Hacienda San Escriva;5,834806171;907,2880252;114785;7961;2264;4030;1667;27912;10042;4809;13061;13361;10113;1784;1464;14740;11937;612;319;71;248;62945;18452;45772;0;-1279;23478;14456;19916;20512;35906,7626;168,77;0,008123;0;0;0;1212,3;32,5714283;17,25;10,375;0;0;0;0;0,018293;0;0;0
1/07/20;31;Zona Camarones;2283;Hacienda San Escriva;8,406251975;1288,013273;167078;13678;4675;5952;3051;22999;9069;3340;10590;23952;20560;2791;601;15949;13503;575;10717;9454;1263;55282;14119;42747;0;-1584;24570;16476;14720;20519;32421,4645;168,77;0,010712;0;0;0;1179,47;31,37142868;4,8;11,4;0;0;0;0;0,025;0;0;0
1/08/20;36;Zona Camarones;2283;Hacienda San Escriva;5,868555801;964,3005275;124992;19333;4403;10828;4102;12899;5324;2619;4956;26692;22895;2449;1348;14722;9382;813;84;28;56;60139;20112;41924;0;-1897;26303;17148;21460;20526;38562,8096;168,77;0,011107;0;0;0;926,86;31,35714293;0,5;16,25;0;0;0;0;0,018182;0;0;0
1/09/20;40;Zona Camarones;2283;Hacienda San Escriva;5,189945619;844,8894947;103315;17784;4989;5955;6840;14819;5065;2759;6995;16249;11173;2363;2713;14842;12562;457;731;86;645;44126;20412;25560;0;-1846;23749;15639;23125;20519;38996,9404;168,77;0,005793;0;0;0;1122,39;33,78571415;0;16,625;0,279857144;0;0;0;0,018072;0;0;0
1/10/20;44;Zona Camarones;2283;Hacienda San Escriva;5,858926997;972,4891866;121791;12545;5414;959;6172;21217;7203;3486;10528;16532;13930;1311;1291;17158;11780;573;1423;1087;336;55428;23123;34244;0;-1939;35293;23280;24414;20870;41957;168,77;0,009675;0;0;0;2190,97;31,91142807;8,1;16,2;0,377571422;0;0;0;0,018072;0;0;0
1/11/20;49;Zona Camarones;2283;Hacienda San Escriva;5,527367233;888,9316823;107742;16793;4979;5938;5876;20615;8263;3579;8773;13451;11392;1140;919;17818;12236;559;622;653;-31;52642;24542;29681;0;-1581;28352;17858;25461;20881;39942,5243;168,77;0,00343;0;0;0;679,42;35,8928566;0,5;18,125;0,368464299;0;0;0;0,01227;0;0;0
1/12/20;53;Zona Camarones;2283;Hacienda San Escriva;5,820131501;1059,649227;137227;9430;2494;5700;1236;33781;13880;4073;15828;25049;21210;2771;1068;15863;12200;595;1633;72;1561;58689;17027;48166;0;-6504;32697;21541;18095;20933;42971,8813;168,77;0,004056;0;0;0;1657,13;36,11485748;34;11,2;0,400371426;0;0;0;0,005988;0;0;0
1/01/21;53;Zona Camarones;2283;Hacienda San Escriva;7,073609812;930,6630326;116911;1820;963;857;0;42245;16535;3505;22205;20002;15082;1464;3456;15374;11831;484;718;0;718;65084;16865;49285;0;-1066;22452;13569;20321;20931;29681,3092;168,77;0,004907;0;0;0;759,71;31,46428537;98,875;11,75;0,432142854;14,44099379;10,80745342;3,633540373;0;0;0;0
1/02/21;8;Zona Camarones;2283;Hacienda San Escriva;5,500281061;956,0052143;121527;1234;1114;120;0;34559;14062;3662;16835;28149;24143;2432;1574;14782;11898;541;1695;0;1695;68810;16667;53671;0;-1528;28524;19681;18241;20931;41128,2619;168,77;0,007428;0;0;0;2500,24;34,21428585;112,75;14,125;0,450892866;9,539877301;5,306748466;4,233128834;0,012346;0;0;0
1/03/21;13;Zona Camarones;2283;Hacienda San Escriva;5,509536693;1009,379629;130480;3029;943;2086;0;39750;17072;3175;19503;20682;18182;1753;747;15031;16764;599;1474;1195;279;68449;16189;54347;0;-2087;26601;16500;16936;20919;41681,0002;168,77;0,010341;0;0;0;743,3;33,9642849;133,5;15,375;0,458178572;13,37423313;9,263803681;4,110429448;0,030303;0;0;0
1/04/21;17;Zona Camarones;2283;Hacienda San Escriva;6,943666558;1045,221307;126376;3726;1132;2594;0;41893;14799;4339;22755;6250;3495;1463;1292;14338;6792;616;11672;11672;0;56825;16844;42209;0;-2228;28153;18403;18136;20882;34535,3565;168,77;0,013335;0;0;0;2174,18;32,48571434;102,8;15,5;0,455514282;8,974358974;7,980769231;0,993589744;0,006173;0;0;0
1/05/21;22;Zona Camarones;2283;Hacienda San Escriva;5,002589121;983,7885881;127271;2626;1128;1498;0;36908;14529;4667;17712;33721;29998;2765;958;14534;11786;494;206;16;190;72150;14965;59550;0;-2365;28016;21331;15923;20891;46045,3566;168,77;0,015989;0;0;0;474,93;32,75000048;17,75;12,75;0,375214294;7,467105263;6,776315789;0,690789474;0;0;0;0
1/06/21;26;Zona Camarones;2283;Hacienda San Escriva;5,336120963;1024,459323;132141;10286;2673;6083;1530;31942;12619;4302;15021;19672;15245;2711;1716;14917;12164;598;1712;1173;539;73523;17016;58616;0;-2109;27404;18892;18732;20900;44266,2379;168,77;0,010769;0;0;0;336,93;32,24999952;2,25;12,125;0,350367442;9,7;8,433333333;1,266666667;0,033113;0;0;0
1/07/21;30;Zona Camarones;2283;Hacienda San Escriva;6,195814958;1064,330154;139631;12980;6979;2750;3251;26048;8571;3258;14219;31665;27919;2905;841;14827;13648;663;1149;298;851;68586;14783;56210;0;-2407;31482;21707;15624;20619;39962,2974;168,77;0,01833;0;0;0;1281,43;31,5714283;0;14,8;0,35678519;12,23684211;11,54605263;0,690789474;0;0;0;0
1/08/21;35;Zona Camarones;2283;Hacienda San Escriva;5,062334367;863,6191267;105063;14504;5007;4258;5239;23993;7762;5619;10612;14285;12296;1181;808;15884;12506;737;193;0;193;49367;16399;34785;0;-1817;27966;16801;17207;21395;40874,2262;168,77;0,011142;0;0;0;1911;32,78571415;1,5;14,5;0,362071425;8,782894737;8,322368421;0,460526316;0,019481;0;0;0
1/09/21;39;Zona Camarones;2283;Hacienda San Escriva;6,174926128;1046,092315;134539;11629;3295;4748;3586;24028;8242;5010;10776;35851;32041;2723;1087;15309;11723;656;951;256;695;71012;13064;59746;0;-1798;30003;20337;14151;21390;38859,2503;168,77;0,009275;0;0;0;362,89;32,48571358;15;12,9;0,372142851;12,78145695;12,15231788;0,629139073;0,006667;0;0;0
1/10/21;43;Zona Camarones;2283;Hacienda San Escriva;5,20232518;971,2508148;121399;7427;3166;1081;3180;15203;5954;3587;5662;37777;35047;1831;899;15710;10385;510;3310;1056;2254;70521;16357;56354;0;-2190;29501;17373;17256;21385;43662,9761;168,77;0,008538;0;0;0;2174,46;31,14285707;10,5;11,375;0,373178571;7,007042254;5,352112676;1,654929577;0;0;0;0
1/11/21;48;Zona Camarones;2283;Hacienda San Escriva;5,340195443;1010,499496;132497;9931;2490;3189;4252;35205;11821;3024;20360;35447;30475;1894;3078;14137;10993;419;421;43;378;75397;15672;61076;0;-1351;27530;17485;18750;21453;43299,7261;168,77;0,00782;0;0;0;536,92;31,57142878;3,25;11,25;0,368821427;8,258064516;7;1,258064516;0;0;0;0
1/12/21;52;Zona Camarones;2283;Hacienda San Escriva;7,812938978;1491,479529;210540;11246;2577;6000;2669;33086;12299;3767;17020;38619;35049;2601;969;17131;15252;450;351;256;95;83517;15802;69367;0;-1652;30204;20333;16771;21434;40708,8806;168,77;0,010003;0;0;0;480,04;29,65714264;33,8;11,3;0,393394285;9,060402685;7,416107383;1,644295302;0,012903;0;0;0
1/01/22;52;Zona Camarones;2283;Hacienda San Escriva;5,790060949;1083,024234;144210;1350;1054;278;18;46901;15423;3468;28010;41651;38215;1582;1854;14290;11601;443;164;34;130;92186;15013;78511;0;-1338;25794;16650;16867;21611;41491,6185;168,77;0,00748;0;0;0;409,26;29,17857122;88,25;11,125;0,407321423;11,75862069;8,24137931;3,517241379;0;0;0;0
1/02/22;9;Zona Camarones;2283;Hacienda San Escriva;7,191944054;1179,925342;160954;2013;1029;985;-1;41169;9731;3486;27952;40511;36134;1750;2627;14225;10930;571;289;17;272;108310;16736;92873;0;-1299;25398;16991;19363;21607;35909,7621;168,77;0,006305;0;0;0;367,04;28,35714293;115,25;9,625;0,480785713;6,482758621;4,620689655;1,862068966;0,034965;0;0;0
1/03/22;13;Zona Camarones;2283;Hacienda San Escriva;5,619270349;1206,168158;166146;2330;1379;951;0;42112;17653;4432;20027;43349;36845;3741;2763;12469;15411;378;439;336;103;95948;17203;80634;0;-1889;40053;24716;19966;21582;50813,8926;168,77;0,009234;0;0;0;531,53;29,74285698;129,8;17,5;0,482071424;6,301369863;4,554794521;1,746575342;0,006849;0;0;0
1/04/22;17;Zona Camarones;2283;Hacienda San Escriva;5,422810526;982,1887777;128447;5302;1063;4239;0;42221;13926;3468;24827;29217;27086;1206;925;12713;10702;365;264;19;245;85359;19910;67467;0;-2018;34180;21255;20835;21614;44461,9997;168,77;0,010844;0;0;0;415,58;32,46428633;95,75;13,5;0,47917857;6,020408163;4,62585034;1,394557823;0;0;0;0
1/05/22;22;Zona Camarones;2283;Hacienda San Escriva;5,049698695;895,9234462;114217;1956;1029;854;73;40460;14145;3522;22793;6389;345;219;5825;12659;10589;336;276;59;217;63541;17797;47617;0;-1873;30512;17164;23622;21647;42909,0948;168,77;0,008507;0;0;0;299,35;30,89285707;76,75;12,5;0,473464288;6,083916084;4,545454545;1,538461538;0;0;0;0
1/06/22;26;Zona Camarones;2283;Hacienda San Escriva;6,99863948;1151,64425;156741;3845;1228;2617;0;29665;10918;4836;13911;44122;39644;2046;2432;13334;10809;344;98;57;41;97789;16587;82811;0;-1609;32108;19284;19019;21656;37484,7141;168,77;0,00879;0;0;0;232,95;30,5428566;31,4;9,9;0,41548571;10,89655172;10,4137931;0,482758621;0,014184;0;0;0
1/07/22;30;Zona Camarones;2283;Hacienda San Escriva;6,632486531;994,406589;124467;9115;2069;4071;2975;19171;6775;2974;9422;33154;31054;1080;1020;14551;13078;483;4222;4105;117;75883;16213;60758;0;-1088;26487;15644;17233;21590;34100,3331;168,77;0,007238;962184,1006;37,44344089;0;218,85;29,03571415;2;11,5;0,362142861;12,44897959;11,66666667;0,782312925;0;0;0;0
